additional_information,ESGBERT/EnvRoBERTa-environmental_label,climatebert/environmental-claims_label,climatebert/renewable_label,all,relevant_for_the_environment,reason,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified
"The Department of Economics, Business, Mathematics and Statistics """"Bruno De Finetti"""" of the University of Trieste hosts four Somali students, selected by the Somali National University in Mogadishu. These students are attending  the MA course in “Economics of production sectors and international markets” and they will probably be appointed as teachers at the Somali National University as soon as they will be graduated.",0,0,0,0,unclear,"The project involves education and future employment in economic fields, with no direct environmental impact mentioned.",9653,2020,italy,Somalia / Italian support to Somali university Education (Sostegno Italiano alla formazione universitaria somala),somalia,,africa,27735.71,24286.96,27735.71,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The purpose of the UNS4 Project is to technically support the planning and restructuring phase of the Gahayr Campus in Mogadishu of the National University of Somalia (UNS), with the aim of giving back to the country a coherent and adequate endowment of university training facilities with respect to the needs identified in previous UNS Projects funded by AICS. The strategy of the intervention is therefore to provide specific technical assistance and transfer of know-how, aimed at starting the recovery and re-functionalization of the campus with particular reference to its actual needs of use",0,0,0,0,no,"The project aims to restructure a university campus, with no mention of environmental aspects in the description.",9654,2020,italy,Somalia / UNS4 Rafforzamento infrastrutturale e strategico dell’Università Nazionale Somala,somalia,,africa,54146.87,47414.07,54146.87,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The specific objectives of the project are: to make available to the authorities and the Somali population, as well as to scholars in general, information that goes from the most relevant bibliographic indications to the availability of texts and document",0,0,0,0,no,"project description is about making information available, not an environmental project",9655,2020,italy,Somalia / Somalia archive - co-financing with University Roma tre Centro studi Somali  III year,somalia,,africa,70202.85,61473.6,70202.85,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Main objective of the intervention is supporting disabled people and victims of the frequent armed conflicts in the area, which was, till recently, under the control of Al Shabab. The planned emergency medical intervention will mainly focus on trauma and ",0,0,0,0,no,"Provides support to disadvantaged and war-affected groups, unrelated to environmental focus",9656,2020,italy,"Somalia / Emergency intervention supporting WHO's activities for disabled persons and IED victims in Hudur, South West State, Somalia",somalia,,africa,91360.0,80000.0,91360.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Main objective of the intervention is supporting disabled people and victims of the frequent armed conflicts in Huddur District. The planned intervention will mainly focus on trauma and emergency care, mental health and psychosocial support to IED victims",0,0,0,0,no,"The project aims to support disabled people and victims of armed conflicts, without any mention of environment-related activities.",9657,2020,italy,"Somalia / Emergency intervention supporting WHO’s activities for disabled persons and IED victims in Huddur, South West State, Somalia",somalia,,africa,91360.0,80000.0,91360.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
The aim of the project is to contribute to the improvement of  the theoretical training as well as to the strengthening of the structural equipment of the Somali National University,0,0,0,0,unclear,"Project description focuses on education and structural equipment, no direct environmental impact mentioned or implied",9658,2020,italy,Somalia / Italian Support to the university education in Somalia 2019-2020,somalia,,africa,143700.14,125832.0,143700.14,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"In the framework of the YES programme and the Labour National Policy, the initiative aims at support the most representative trade union in Somalia with necessary technical skills and systems to support constituent Trade Unions in their capacity developme",0,0,0,0,unclear,"The project aims to support the development of trade unions in Somalia. It does not contain any explicit information regarding environmental impacts, therefore it is unclear if it is relevant for the environment.",9659,2020,italy,Somalia / Employment and decent work for peace and resilience in Somalia,somalia,,africa,190595.69,166896.4,190595.69,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project, targeting vulnerable and crisis affected children aged 3-6 years, follows an integrated outlook focusing on three outcomes: increasing access and retention to school; improving quality and learning outcomes; and increasing access to safe and clean drinking water and WASH facilities and school feeding.",0,0,0,0,yes,"Project focuses on improving access to education and water, sanitation, and hygiene facilities for young children, which are environmental goals.",9660,2020,italy,Somalia / Promoting pre-primary education in Beletweyne district - Hiran region (phase II),somalia,,africa,206292.02,180641.0,206292.02,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Within the framework of scientific cooperation and institutional support of the National University of Somalia, this project foresees activities of infrastructural development of Gaheyr University Campus in Mogadishu, institutional and capacity building o",0,0,0,0,unclear,"The project description focuses on infrastructural development and institutional capacity building, with no mention of environmental considerations.",9661,2020,italy,Somalia / Strengthening of the Somali University through infrastructural support and capacity building 2018 - 2020,somalia,,africa,225625.4,197570.4,225625.4,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Voluntary contribution to the International Monetary Fund for support to Somalia Country Fund for Capacity Development in Macroeconomic Policies and Statistics - Phase II (FY2021-2024). The overall objective of the programme is to strengthen Somalia's cap with special attention to COVID-19 challenges,0,0,0,0,unclear,"The project aims to strengthen the macroeconomic policies and statistics in Somalia, which does not contain any obvious environmental benefits or harms. Moreover, the project focuses on the COVID-19 challenges, which is a global health crisis but not explicitly an environmental one.",9662,2020,italy,Somalia / Voluntary contribution for support Somalia Country Fund for Capacity Development in Macroeconomic Policies and Statistics,somalia,,africa,319760.0,280000.0,319760.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Italian contribution to the International Fund for Agriculture Development programme FARMS 'Facility for refugee, migrants, forced displacement and rural stability to be implemented in Puntland region of Somalia'. The contribution will provide funds to a ",0,0,0,0,unclear,"The project aims to support agriculture and rural stability, which can have environmental impacts, but the description is not clear enough to determine specific environmental relevance.",9663,2020,italy,"Somalia / Contribution to the IFAD programme FARMS 'Facility for refugee, migrants, forced displacement and rural stability.'",somalia,,africa,744500.86,651927.2,744500.86,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
"The proposed joint-programme aims at promoting interventions at macro, meso and micro levels of the Somali economy to promote investment in infrastructure and in the private sector, stimulate sustainable production, foster inclusive economic growth and jo",0,0,0,0,unclear,The description does not provide enough information to determine if it is an environmental project.,9664,2020,italy,Somalia / Somalia Productive Sectors Development Programme,somalia,,africa,913600.0,800000.0,913600.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Main objective of the intervention is supporting the vulnerable local communities in the South West State of Somalia, Hudur District, affected by drought and famine caused by climate shocks with specific regard to the 2019 drought, and also  victims",1,0,0,1,unclear,"The project aims to support drought and famine-affected communities, but it's not explicitly stated if it has environmental aspects or not.",9665,2020,italy,"Somalia / Contribution to WHO  for the Emergency health response program  for the vulnerable population of Hudur district, South West State, Somalia",somalia,,africa,1142000.0,1000000.0,1142000.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Main objective of the intervention is supporting the response to the humanitarian crisis in Somalia caused by climate shocks. Harvest in July 2019 has been 70 below the national average, the poorest harvest since 1995, with serious consequences on local p",1,0,0,1,yes,"The project aims to support a country affected by climate shocks, therefore it is an environmental project.",9666,2020,italy,Somalia / Emergency integrated intervention to address the humanitarian crises in Somalia,somalia,,africa,1370400.0,1200000.0,1370400.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project aims at supporting children on the move in South Africa for them to enjoy improved growth, well-being and development in order to reach their full potential. In particular, the project seek to increase access to quality social services; improve host families and communities capacity to provide adequate care and support; strenghten Migrant children in alternative care ability to actively contribute to decisions affecting access to their rights, social development ",0,0,0,0,no,"The project aims to support the well-being and development of children, particularly those on the move in South Africa, by increasing access to quality social services, improving the capacity of host families and communities to provide care, and strengthening the ability of migrant children in alternative care to participate in decisions affecting their rights and social development. There is no mention of environmental aspects in the project description, thus it is classified as not relevant for the environment.",9668,2020,italy,South Africa / Protecting and caring for the unaccompanied and separated migrant children in Southern Africa,south africa,,africa,45680.0,40000.0,45680.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project aims at improving the Integrated Water Resources Management in El Salvador, Guatemala and Nicaragua through high level education, applied research and implementation of best practices in pilot areas. The project will develop a Master in Hydro",1,0,0,1,yes,The project aims at improving water resources management which is an environmentally friendly goal,9669,2020,italy,"South America, regional / Agua futura - education and research aimed at water resources quality and quantity monitoring and modeling and on the related psychosocial problems","el salvador, guatemala, nicaragua",,latin america and the caribbean,228034.56,199680.0,228034.56,Committed,Oda,adaptation,Grant,Water And Sanitation,False,True,False,False,False,False,False,False,False,False,False
"Follow up of 11th edition of Diplomacy Festival in live streaming focused on Italy-ASEAN partnership for investments in environmental sustainability and sustainable development, with the aim of stimulate the potential for sustainable development between ASEAN countries through mediatic divulgation",1,1,0,2,yes,"The project description is focused on environmental sustainability and sustainable development, and aims to stimulate potential for sustainable development in ASEAN countries through media divulgation.",9670,2020,italy,"South Asia, regional / 11th  Diplomacy Festival 2020 - Follow-up on the  Italy-ASEAN cooperation in sustainable development.",,asia,asia,2284.0,2000.0,2284.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Actions aimed at gathering together in an international conference peace and human rights advocates.,0,0,0,0,unclear,"The project involves gathering peace and human rights advocates in an international conference. There are no specific details regarding environmental impacts or initiatives, making it difficult to classify as an environmental project.",9671,2020,italy,"South Asia, regional / Reclaiming Peace for Life as a South-led Movement for Just Peace",,asia,asia,6852.0,6000.0,6852.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Training course in streaming for ASEAN countries’ Institutions about disaster risk decrease.,1,0,0,1,yes,The project aims to decrease disaster risk which can be related to climate change and environmental disasters.,9672,2020,italy,"South Asia, regional / Training course for ASEAN countries’ Institutions about disaster risk decrease.",,asia,asia,29692.0,26000.0,29692.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"4 webinars organized by the UNDRR dedicated to risk reduction on the African continent. The webinar was open to the public but aimed above all at sector experts, donors and representatives of international organizations. The intervention of CIMA focused on how risk profiles can help to develop and improve standard operating procedures for early warning systems",0,0,0,0,yes,"The project is a series of webinars about risk reduction in Africa, which is an environmental project as it aims to address issues of climate change and natural disasters in the region.",9673,2020,italy,"South of Sahara, regional / Webinar on Disaster Risk Reduction in Africa",,africa,africa,1370.4,1200.0,1370.4,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"This project concerns the Italian contribution to an EU program that will assist the four countries of Senegal, Mali, Guinea Conakry and Mauritania, as well as the OMVS (organisation in charge of the Senegal river basin management) to collect and analyse ",1,0,0,1,unclear,"The project description mentions the use of funds to assist with data collection and analysis in multiple countries and an organization focused on river basin management, but there is no explicit information about environmental benefits or harm.",9674,2020,italy,"South of Sahara, regional / Assistance program to the integrated management of environmental problems connected to the water resources and the nexus Water-Energy-Agriculture","mali, mauritania, senegal, guinea",,africa,2066.9,1809.9,2066.9,Committed,Oda,cross-cutting,Grant,Not Applicable,True,False,False,False,False,False,False,False,False,False,False
The project aims at organising an awareness campain regarding risks and dangers of illegal migrations through itinerant cinema in some specific areas most affected by the migration phenomenon. The project will be implemented in the following countries: Iv,0,0,0,0,unclear,"The project aims to raise awareness about migration issues through itinaent cinema. While it does not directly involve environmental actions, it is also free from environmental harm. However, the project's description does not provide enough information to classify it as an environmental project or green investment.",9675,2020,italy,"South of Sahara, regional / Awareness campain to inform people on illegal migration's risks in six African countries",,africa,africa,3186.75,2790.5,3186.75,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The Project aims at constructing, expanding and rehabilitating rural water scheme and build sanitation infrastructure. Together with the hard activities, capacity building at all levels for enhancing the knowledge on water scheme operation and maintenance",1,0,0,1,yes,"The project description includes the construction, expansion, and rehabilitation of water schemes, as well as building sanitation infrastructure. These activities are relevant to the environment, as they aim to improve water access and sanitation.",9676,2020,italy,"South of Sahara, regional / Rural WASH in Oromia - local fund",,africa,africa,215838.0,189000.0,215838.0,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False
"The initiative aims at strengthening national and local capacities for the coordination and implementation of the Sendai Framework for Disaster Risk Reduction in Ethiopia, Eritrea and in the Federal Republic of Somalia.",0,0,0,0,unclear,"The project aims at reducing disaster risk which can have environmental benefits, but the description does not provide enough information to classify it as an environmental project.",9677,2020,italy,"South of Sahara, regional / Contribution to UNDRR for strengthening Disaster Risk Management in Ethiopia, Eritrea and Somalia","ethiopia, somalia, eritrea",,africa,456800.0,400000.0,456800.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
The project purpose is to support the Djiboutian Government to secure water access for rural food insecure and drought-affected people and their livestock asset through an effective action,1,0,0,1,yes,"Project description mentions securing water access for food insecure and drought-affected people and their livestock, which can have environmental benefits such as conservation and sustainable use of water resources.",9678,2020,italy,"South of Sahara, regional / Critical interventions for drought-affected and food insecure populations in Djibouti",djibouti,,africa,571000.0,500000.0,571000.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The Initiative aims to extend and improve services of Comboni Hospital in Wau considered as priority by Local Health Authorities and by Hospital management services. In particular, the maternal and child services of the Wau Hospital improve from a qualita",0,0,0,0,no,Improving healthcare services in the hospital.,9680,2020,italy,South Sudan / Strengthening of services supplied by the Comboni Hospital in Wau also as answer to the migration flow in Sud Sudan,sudan,,africa,145180.45,127128.24,145180.45,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The Initiative aims to strengthen local resilience through inclusive actions aimed at promoting agricultural activities, creation and improvement of integrated food security and nutrition services, as guarantee of fair access to water and hygiene. n parti",1,1,0,2,unclear,"Project description includes agricultural and water-related activities which can have environmental impacts, but the details are not sufficient to classify it clearly as 'yes' or 'no'.",9681,2020,italy,"South Sudan / S.A.N.I. - Food Security, Nutrition and Hygiene for Equatorial band's communities in South Sudan",sudan,,africa,447485.95,391844.09,447485.95,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Food Security(SA) through better access to basic nutrition and health services, development of agricultural production and income generating activities. Basic community services for the management of acute malnutrition and severe malnutrition will be enha",0,0,0,0,unclear,"Project description includes development of agricultural production which can have environmental impact but it's not clear if it's sustainable or not. Hence, classifying it as unclear.",9682,2020,italy,South Sudan / Support to food security and promotion of healty nutrition in Western Bahr-el-Ghazal Region - FSHN,sudan,,africa,485417.38,425059.0,485417.38,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Specific goal of the project is indeed to deliver integrated curative and preventive care for PLWE-NS in the health systems and promotion of sustainable food security and livelihoods for resilience of people with disabilities in target communities. NS is ,0,1,0,1,unclear,"Project description focuses on healthcare and food security for people with disabilities, no explicit environmental focus mentioned.",9683,2020,italy,South Sudan / Integrated responses for communities needs affected by dangling syndrome in South Sudan,sudan,,africa,798952.8,699608.41,798952.8,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"Improve the supply chains of two traditional Sri Lankan productions: rice and spices, from production to processing to marketing, promoting ecological and fair trade conversion, promoting local and international marketing, and structuring public / private",0,0,0,0,yes,"The project aims to promote ecological and fair trade conversion which suggests the use of environmentally friendly practices, making it a environmental project.",9685,2020,italy,Sri Lanka / SRI-PROM - Integrated Rural Development in Sri Lanka: rice and spices from Production to the Market,sri lanka,,asia,170082.17,148933.6,170082.17,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
"From 2013 to 2020 a total of 7 annual campaigns had been conducted involving of a total of 22 Italian experts, 7 technicians of the NCAM, and 4 local personnel. Operational aims of the project to carry out: training activities to update of the technicians of NCAM; procedures for the restoration of the wall paintings; archaeological investigations; preventive conservation works and lay the foundations for an architectural restoration project for the monument.",1,0,0,1,unclear,"Project describes training activities, archaeological investigations and conservation works, but no clear environmental focus is mentioned.",9686,2020,italy,Sudan / Mut a Jebel Barkal Temple preservation,sudan,,africa,18695.91,16371.2,18695.91,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project is in the framework of a broader Programme jointly decided upon and implemented by the United Nations Development Programme and the Sudanese Disarmament, Demobilization and Reintegration Commission, in coordination with the Ministries of Agric",0,0,0,0,unclear,The project description is not sufficient to determine whether it is an environmental project or not.,9688,2020,italy,Sudan / Promoting Community Stabilization in South Darfur State,sudan,,africa,44309.6,38800.0,44309.6,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project is in the framework of a broader Programme jointly decided upon and implemented by the United Nations Development Programme and the Sudanese Disarmament, Demobilization and Reintegration Commission, in coordination with the Ministries of Agric",0,0,0,0,unclear,The project description is not sufficient to determine whether it is an environmental project or not.,9695,2020,italy,Sudan / Promoting Community Stabilization in South Darfur State,sudan,,africa,291857.98,255567.41,291857.98,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Improve livelihood of rural population located in the State of Kassalâ and Red Sea,0,0,0,0,unclear,"Project description is focused on improving the lives of rural communities, but does not mention any environmental aspects.",9689,2020,italy,Sudan / Poverty Alleviation Project in the State of Kassalâ e Red Sea,sudan,,africa,52532.0,46000.0,52532.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Strengthening teaching and research in the field of communicable diseases at the University of Kassala; Improving teaching offer at the Academy of Health Science of Kassala; Improving capabilities in molecular diagnostics University in Khartoum and the Mycetoma Centre in Khartoum; Improved ability of the Teaching Hospital laboratory services,0,0,0,0,unclear,Project aims to improve health education and research as well as laboratory services in Sudan.,9691,2020,italy,Sudan / Support to the public institutions of health training in Kassalâ State,sudan,,africa,136906.61,119883.2,136906.61,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The SHF is a country-based pooled fund, which aims to promote a timely, strategic and coordinated response to the country's critical needs in emergency, supporting the Humanitarian Response Plan (HRP) prepared by OCHA Sudan.The Fund mainly aims at:- impro",0,0,0,0,unclear,"The project aims to support the Humanitarian Response Plan and does not contain information about environmental impact, making it difficult to classify it as environmentally relevant or not.",9692,2020,italy,Sudan / Contribution to the Sudan Humanitarian Fund - SHF,sudan,,africa,228400.0,200000.0,228400.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"This project aims to improve the socio-economic resilience of refugees, migrants and host communities in East Sudan. The resilience of refugees will be enhanced by community-based development interventions:  livelihood and small business support, vocational trainings, socioeconomic infrastructure/asset, educational opportunities, awareness raising on migration issues, reforestation, and migration coordination mechanism, and as a result, limit the drivers to forced onward migration",1,0,0,1,yes,The project involves reforestation which is an environmental initiative.,9693,2020,italy,Sudan / Community-based development solutions for migrants and host communities,sudan,,africa,228400.0,200000.0,228400.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The contribution of the Italian Cooperation to UNMAS will strengthen the humanitarian demining response in Sudan, through activities that include assistance to the victims and Explosive Ordnance Disposal (EOD), as well as capacity building of national min",0,0,0,0,yes,"The project involves demining which is a process that helps preserve the environment by reducing the risk of accidents caused by explosives, making the area safe for both humans and wildlife.",9694,2020,italy,Sudan / Strengthening the humanitarian mine action response in Sudan,sudan,,africa,228400.0,200000.0,228400.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The project aims to implement livelihood actions for small businesses that generate income for young people and support revitalisation and economic development by providing support for livelihood or vocational training for at-risk young people, IDPs and c",0,0,0,0,unclear,"Project description is focused on providing livelihood support and vocational training, it does not include any information about environmental impact or benefit.",9696,2020,italy,Sudan / Building Youth Inclusion in Sudan,sudan,,africa,346026.0,303000.0,346026.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
The objective of the initiative is to contribute and ensure the improvement of the espected results of the initiative funded by the Italian ODA and in particular of the EU delegated cooperation programme,0,0,0,0,unclear,The description does not provide enough information to determine if the project is environment-related,9698,2020,italy,"Sudan / Support to the Development of the National Health System of Gedaref, Kassala and Red Sea States and integration with the EU",sudan,,africa,489347.0,428500.0,489347.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"The programme targets persons with disabilities, as one of the most exposed and vulnerable group to the economic and social consequences of the economic reforms and of the measures taken by the government to contain the spread of the ongoing pandemic COVID-19. The initiative aims to support the authorities in improving the living conditions of persons with disabilities by promoting their economic empowerment and access to work, as essential determinant of social inclusion. The initiative, includes three levels of interventions: (a) technical assistance and capacity building to the institutions for the development and implementation of inclusive public policies, especially in the job market sector; (b) economic support to persons with disabilities – especially youth and women – to boost entrepreneurship, professional trainings and support to access to work; (c) empowerment of civil society organizations and organizations of persons with disabilities toward the direction of a national federation",0,0,0,0,unclear,"Project aims to improve living conditions of persons with disabilities and promote their economic empowerment, but no explicit mention of environmental aspects in the description",9699,2020,italy,Sudan / INLAB – Economic Empowerment and Integration of Persons with Disabilities to the Job Market,sudan,,africa,665786.0,583000.0,665786.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Objective of the proposed initiative is the execution of physical infrastructure and the provision of furniture and equipment to improve the health facilities at State and Locality level for the benefit of the residents and migrant populations of the East,0,0,0,0,unclear,The description does not contain information about environmental impact,9700,2020,italy,"Sudan / Expansion and Improvement of Healthcare Services Kassala Health Citadel, Kassala, Kassala State, Sudan - Phase IV",sudan,,africa,2101125.83,1839865.0,2101125.83,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
"To support civil Syrian CSOs to build a democratic and inclusive environment by promoting and protecting the human rights of children and young people, to help Syrian people face the current crisis. To strengthen the capacity of Syrian CSOs in addressing children's rights violations; promote the participation and representation of children and young people in international negotiations and reinforce coordination and networking among Syrian CSOs",0,0,0,0,unclear,"The project description does not contain any information regarding environmental impact or benefit, making it difficult to classify it as an environmental project.",9701,2020,italy,Syrian Arab Republic / Supporting Syrian CSOs on children's rights and their contribution to building a democratic future,syrian arab republic,,asia,5956.22,5215.6,5956.22,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Distribution of hygiene products; Provision of drinking water; Awareness-raising campaign on the prevention of viral spread in the context of covid-19 pandemic.,0,0,0,0,yes,The project involves provision of drinking water which is an environmental need,9703,2020,italy,Syrian Arab Republic / Syria: Emergency within an emergency. Anti-Covid- 19 measures to protect the resident and displaced population of Idlib province,syrian arab republic,,asia,22571.63,19765.0,22571.63,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
Training for the start-up of the system for the sorting of medical waste within health facilities; Training of the Department of Health for the start-up of the monitoring and evaluation system for the sorting of medical waste within health facilities; Preparation and maintenance of vehicles and training of municipal staff for the transport and treatment of medical waste; Training and coaching of the Department of Local Administration and Environment for the start-up of the monitoring and evaluation system for the transport and treatment of medical waste; Development of a pilot plan for the recycling of municipal solid waste,1,0,0,1,yes,"The project includes waste sorting, transport, treatment, and recycling, which are all related to environmental protection.",9705,2020,italy,Syrian Arab Republic / Waste disposal and recycling in North East Syria,syrian arab republic,,asia,30572.48,26771.0,30572.48,Committed,Oda,cross-cutting,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False
"AICS financial support to Civil Society Organizations (OSC) to ensure the continuation of activities and the achievement of the expected results of the ongoing Syrian refugee projects (carried out in Jordan, Lebanon and Egypt) during the COVID-19 emergenc",0,0,0,0,no,"The project's description focuses on providing financial support to Syrian refugee projects in Jordan, Lebanon, and Egypt during the COVID-19 emergency, with no mention of environmental aspects.",9706,2020,italy,Syrian Arab Republic / Covid-fund for ongoing Syrian refugees projects,syrian arab republic,,asia,99964.47,87534.56,99964.47,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"The intervention, which will be implemented by CIHEAM, is designed to increase the capacity of Raqqa Civil Council (RCC), to support their rural communities by providing agriculture and livestock services and inputs",0,0,0,0,unclear,"Project description includes provision of agriculture and livestock services/inputs which can have environmental impacts, but detail is lacking to make a definitive classification.",9707,2020,italy,Syrian Arab Republic / Strengthening Raqqa Local Administration to Support the Rural Communities- Phase II & III,syrian arab republic,,asia,685078.49,599893.6,685078.49,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False
"UNDP and FAO lead agencies of the Early Recovery and Livelihoods Sector and the Food Security and Agriculture Sector, supported by the Livelihood Working Group (LWG) will issue a call for proposals to their respective local cluster members to implement an",0,0,0,0,unclear,The project description is not clear enough to classify as environment-related or not,9708,2020,italy,Syrian Arab Republic / Building resilience for food-security and nutrition with sustainable livelihoods opportunities and social inclusion,syrian arab republic,,asia,1142000.0,1000000.0,1142000.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False
"continuity of the Stop Dynamite Fishery project, coconuts reforestation & local comunity enviomental education.",1,0,0,1,yes,"The project involves coconut reforestation and environmental education, which are environmental initiatives.",9709,2020,italy,Tanzania / Stop Dynamite Fishery,tanzania,,africa,1713.0,1500.0,1713.0,Committed,Oda,mitigation,Grant,Forestry,True,False,False,False,False,False,False,False,False,False,False
Tanzania  - Associazione Veneto Tanzania Onlu - Health Cooperation between Regional Hospital of Vicenza and the Regional Hospital of Iringa in Tanzania,0,0,0,0,unclear,"The project aims to improve healthcare cooperation between hospitals in Vicenza and Iringa, Tanzania. No explicit information about environmental impact is provided.",9710,2020,italy,Tanzania / Health Cooperation between Regional Hospital of Vicenza and the Regional Hospital of Iringa in Tanzania,tanzania,,africa,2417.84,2117.2,2417.84,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
Measures to increase the productivity and improve the quality of coffee producers; Sustainable positioning and involvement of coffee producers in the coffee market; Creation of a cooperative „SACCOS“,0,0,0,0,yes,"The project aims to increase productivity and improve the quality of coffee producers, and promote sustainable practices in the coffee market. These goals are relevant to environmental preservation and improving the quality of life for those involved in the coffee industry.",9713,2020,italy,Tanzania / KOLcafe II,tanzania,,africa,9155.19,8016.8,9155.19,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False
The project involves the construction of a drinking water well for the Nkwenda training center in order to make an important contribution to basic services by ensuring access to clean water. ,1,1,0,2,yes,The project directly addresses environmental concerns by promoting clean water access.,9714,2020,italy,Tanzania / Water supply for Youth and Farmer Training Center,tanzania,,africa,9821.2,8600.0,9821.2,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False
"General Objective: To contribute sustainably to the improvement of living conditions and the reduction of infant mortality in the Regions of Dodoma and Iringa, Central Tanzania. Specific Objective: To contribute sustainably and through an integrated approach to improving the quality and governance of water, hygiene and nutrition services for around 40,000 people in the Dodoma and Iringa Regions, Central Tanzania.",1,0,0,1,unclear,"The project aims to improve water, hygiene, and nutrition services, which can have environmental benefits but is not explicitly an environmental project.",9715,2020,italy,"Tanzania / Integrated Support for the Right to Water, Hygiene and Nutrition in Central Tanzania",tanzania,,africa,12562.0,11000.0,12562.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False
