additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"The initiative aims to improve the socio-economic conditions of the local population through the strengthening of planning capacities for socio-economic development in unions and municipality clusters and through the active collaboration between Ministry of Social Affairs (Meuse), municipality unions and civil society organisations.",1,0,2949,2019,italy,Lebanon / Support for local communities in Lebanon: improving planning for local socio-economic development,lebanon,,asia,537504.0,480000.0,537504.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to increase access to drinking water in the city of Bamako, also in order to improve its service for the population",1,0,40050,2016,italy,Mali / Mali / Africa (South of Sahara) / Supply drinking water in the city of Bamako starting from KABALA station - Local fund,mali,,africa,92889.53,84000.0,92889.53,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative aims to increase the incomes of the rural populations living in the intervention areas trying to overcome the obstacles that prevent farmers from innovating the production system and becoming actors of socio-economic development,1,0,9627,2020,italy,Senegal / Papsen and Pais technical support and development research,senegal,,africa,685200.0,600000.0,685200.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative aims to increase the number of international students attending the PhD course,1,0,8731,2020,italy,"Albania / Phd Course of """"Political Economy""""",albania,,europe,7008.68,6137.2,7008.68,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to increase the number of international students attending the PhD course in """"Agriculture, food and environmental sciences"""".",1,1,8696,2020,italy,"Afghanistan / Phd Course of """"Agriculture, food and environmental sciences""""",afghanistan,,asia,7008.68,6137.2,7008.68,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to increase the number of international students attending the PhD course in """"Civil, environmental and construction engineering and architecture"""".",1,1,8930,2020,italy,"China (People's Republic of) / Phd Course of """"Civil, environmental and building engineering and architecture""""",china,,asia,7008.68,6137.2,7008.68,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to provide operational tools to the Italian Development Cooperation Office in Beirut in order to reinforce the coordination and management capacity in the projects programming, identification, preparation and implementation in Lebanon",1,0,9370,2020,italy,Lebanon / Technical assistance fund 2017-2018,lebanon,,asia,77656.0,68000.0,77656.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to strengthen, in a sustainable way, the food security of the most vulnerable families in the Center-South Region, with particular attention to people with disabilities and women. In particular, the agro-forestry-pastoral production of",1,1,8884,2020,italy,Burkina Faso / Cultivating inclusion: food security and resilience of vulnerable households in Burkina Faso,burkina faso,,africa,336232.21,294424.0,336232.21,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to support the Government of Egypt to consolidate efforts in engaging Egyptian expatriates in the development of the country, by building a strategic policy expatriates engagement for development along with a communication strategy with expatriate communities through a participatory approach that envisages the involvement of various stakeholder engaged in migration and development affairs.",1,0,2893,2019,italy,Egypt / Initiatives for Local Development of Egypt through the support of Egyptians Abroad ILDEA,egypt,,africa,223960.0,200000.0,223960.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative aims to support the phytosanitary sector of Bosnia and Herzegovina on the path taken to adapt to the standards of the European area.,1,0,2911,2019,italy,"Europe, regional / New actions to support the phitosanitary sector in Bosnia and Herzegovina, for the compliance with the European standards.",bosnia and herzegovina,,europe,181669.19,162233.6,181669.19,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative aims to the sustainable developmet of the rural areas of the Provinces of Bashra and Dhi Qar, with a special focus on the buffalo breeding sector, through the strengthening of the istitutional capacity. It also aims to develop the area by social-economic point of view.",1,1,40090,2016,italy,Iraq / Iraq / Asia (Middle East Asia) / Sustainable Development of Buffalo Breeding in Rural Areas of south Iraq,iraq,,asia,105938.03,95799.76,105938.03,Committed,ODA,mitigation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative carries out the analysis and evaluation of 5 agri-food supply chains (milk and derivatives; meat and derivatives; marine fishing; aquaculture and freshwater fishing; fruit and vegetable preserves) and the development of an innovative pilot ,1,0,8976,2020,italy,Cuba / Increasing the Productivity and Efficiency of selected subsectors of Agro-industrial food processing in Cuba (IPEPAC),cuba,,latin america and the caribbean,29147.38,25523.1,29147.38,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative focuses on inclusive and sustanaible growth for human development. It will be implemented in the Jequitinhonha Valley; its beneficiaries will be 40 rural communities located in 4 different villages (Chapada do Norte, Minas Novas, Turmalina e Veredinha).",1,0,8851,2020,italy,Brazil / Exchange: Supporting and Cooperating for Family Farming and Organic Markets,brazil,,latin america and the caribbean,41112.0,36000.0,41112.0,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative focuses on the rehabilitation of water provision infrastructures in an area, the Sinjar, which was heavily affected by the recent conflict and by ISIS occupation. It is aligned with the country-wide sustainable returns approach, aiming at p",1,1,9266,2020,italy,Iraq / Rehabilitation of Basic Services for Returnees in Sinjar,iraq,,asia,852951.81,746893.0,852951.81,Committed,Oda,adaptation,Grant,Water And Sanitation,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative includes 1 additional grant to strengthen operational capacities in the management of the Covid-19 epidemic in Kenya and improve the health of the population.,1,0,9288,2020,italy,Kenya / Additional grant for covid-19 (KENYA),kenya,,africa,228.4,200.0,228.4,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative includes 1 additional grant to strengthen operational capacities in the management of the Covid-19 epidemic in West Bank and Gaza Strip and improve the health of the population.,1,0,9794,2020,italy,West Bank and Gaza Strip / Additional grant for covid-19 (PALESTINA),"palestine, state of",,asia,105.06,92.0,105.06,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative includes 11 additional grants to strengthen operational capacities in the management of the Covid-19 epidemic in India and improve the health of the population.,1,0,9207,2020,italy,India / Additional grant for covid-19 (INDIA),india,,asia,3014.88,2640.0,3014.88,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative includes 3 additional grants to strengthen operational capacities in the management of the Covid-19 epidemic in Senegal and improve the health of the population.,1,0,9598,2020,italy,Senegal / Additional grant for covid-19 (SENEGAL),senegal,,africa,269.51,236.0,269.51,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative includes 61 additional grants to strengthen operational capacities in the management of the Covid-19 epidemic in Peru and improve the health of the population.,1,0,9567,2020,italy,Peru / Additional grant for covid-19 (PERU'),peru,,latin america and the caribbean,6349.52,5560.0,6349.52,Committed,Oda,adaptation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative increases access to energy to contribute to the resilience and socio-economic development of the rural areas of the provinces of Bujumbura Rural, Ruyigi and Rutana in Burundi; the renewable energy (RE) market is strengthened by acting on tw",1,1,8892,2020,italy,Burundi / Access to renewable energy in the off-grid areas of Burundi as a driving force for socio-economic development,burundi,,africa,513900.0,450000.0,513900.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative intends to acquire financial resources to provide specialized technical assistance to promote the bilateral and multilateral initiatives,1,0,40103,2016,italy,"Burkina Faso / Burkina Faso / Africa (South of Sahara) / In loco fund - Fund for formulation, management, supervision and visibility of the program",burkina faso,,africa,43259.98,39120.0,43259.98,Committed,ODA,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative intends to contribute to the sustainable development of the maritime and costal economy of Albania, within the European standards, by providing support both to the Albanian authorities and private sector. The project, in particular, will pr",1,1,8748,2020,italy,Albania / Institutional Assistance for the development of the Maritime Economy,albania,,europe,228400.0,200000.0,228400.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative is aimed at excavating a reservoir and building  a stone wall and a fence.,1,0,9341,2020,italy,"Lao People's Democratic Republic / Project for mute, deaf and deaf-mute students: creation of a reservoir for fish farming and irrigation of agricultural facilities",lao people's democratic republic,,asia,1905.31,1668.4,1905.31,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative is based on national and global strategies which sustain that the management of urban solid waste must respond to an integrated planning, where operators of waste perform multiple and collaborative functions with synergistic subjects. In th",1,1,9474,2020,italy,Mozambique / LimpaMOS MOzambique: Program to strengthen the Urban Solid Waste Management in the cities of Beira and Nampula,mozambique,,africa,700125.6,613069.7,700125.6,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The initiative seeks to confirm the principles endorsed in the UN Convention on the rights of persons with disabilities. The specific objective is to promote human rights of persons with disabilities through the strengthening of the National Council for Disability,1,0,8720,2020,italy,"Africa, regional / Promotion of the rights of persons with disabilities in Egypt",egypt,,africa,377641.75,330684.54,377641.75,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative supports the National Demographic Strategy (NPS) of Egypt to reduce the fertility rate from 3.5 to 3.2 (which corresponds to a decrease in the population growth rate from 2.4 to 2.2 by 2030), aimed at restoring the balance between economic ",1,0,9550,2020,italy,"North of Sahara, regional / An innovative outreach approach in addressing population growth in Egypt",egypt,,africa,405895.58,355425.2,405895.58,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative supports the National Demographic Strategy (NPS) of Egypt to reduce the fertility rate from 3.5 to 3.2 (which corresponds to a decrease in the population growth rate from 2.4 to 2.2 by 2030), aimed at restoring the balance between economic growth rates on the one hand and population growth on the other",1,0,3021,2019,italy,"North of Sahara, regional / An innovative outreach approach in addressing population growth in Egypt",egypt,,africa,497834.86,444574.8,497834.86,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative will bolster the current social protection reforms in the region (Bosnia and Herzegovina and Montenegro) highlighting and prioritizing child rights dimension for vulnerable boys and girls. Established quality child-centred services for street involved and children at risk and their families will be further strengthened and enhanced through holistic approach in supporting families, communities and systems of social welfare by placing boys and girls at the centre of intervention.",1,0,8827,2020,italy,Bosnia And Herzegovina / NWB_Child Protection 2019-2021,bosnia and herzegovina,,europe,82224.0,72000.0,82224.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative will promote the improvement of the life conditions in South Sudan and in Uganda of the South Sudanese population affected by the crisis and internal displaced people (IDPs) by providing quality health and protection services, nutrition support and assistance.",1,0,39046,2017,italy,"South Sudan / The initiative aims to contribute to respond to the current  severe humanitarian crisis and to provide relief to the victims, in particular to the vulnerable groups. ",sudan,,africa,901916.57,800000.0,901916.57,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative will take place at the Mazzarllo Women Promotion Center with the aim of strengthening food security and improving the quality of life of the rural population, but above all, with this project, we want to support women through fair access to resources.",1,0,39115,2017,italy,"South Sudan / The project will involve 150 women from the rural center of Gumbo, a small village near the city, Juba, South Sudan. ",sudan,,africa,210489.29,186704.0,210489.29,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative, in complement with PRODEC, proposes that some Italian Municipalities - selected by ANCI - strengthen the capacities of 31 Tunisian Municipalities to manage municipal investments and at the same time improve programming capacities",1,0,9749,2020,italy,Tunisia / PARLOC: partnerships for local development,tunisia,,africa,67492.2,59100.0,67492.2,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative, thanks to access to integrated education programmes, aims at improving health practices and Nutritional and Upgrading services For the protection of Minors",1,0,9460,2020,italy,"Mozambique / The Knowledge for Children of Zambezia (inclusive pre-school education and integrated services of ed, sal, nutriz.)",mozambique,,africa,182681.51,159966.29,182681.51,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiative, to be carried out in the Samburu County, is targeted to preventing the malnutrition of moms and children, contributing in this way to the general improvement of food security in Kenya as a whole. ",1,0,9311,2020,italy,Kenya / CARE AND PREVENTION OF MALNUTRITION OF MOMS AND CHILDREN AND IMPROVEMENT OF FOOD SECURITY,kenya,,africa,72850.02,63791.61,72850.02,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The initiave aims at increasing the earnings and employment of the partecipating women-led Micro Small Entrprises (MSEs) in the 6 targeted cities, Addis Abeba, Dire Dawa, Mekelle, Hawassa, Bahir Dar and Adama",0,0,40351,2016,italy,Ethiopia / Ethiopia / Africa (South of Sahara) / Italian contribution to the Women Entrepreneurship Development Program (WEDP),ethiopia,,africa,6634966.27,6000000.0,6634966.27,Committed,ODA,cross-cutting,Concessional loan,Other (Government and civil society general),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The iniziative takes place in the poorest Eastern Sudan's States and articulates a strategy that fosters resilience starting from the communities dwelling within the irrigated arable lands (UNIDO component) up to reaching out the pastoralists communities inhabiting dryland at risk of marginalization  (AICS direct implementation component). While the economic resilience benefits from improved and increased businesses opportunities, personal and community resilience refers to factors like food and water security, health and livelihood stability that eventually might link to the marketable value chain opportunities. This iniziative is based on the practical experience acquired by the two implementing actors and on the expertise available to inform relevant and innovative policies and provide practical support to the relevant stakeholders.Some activities that will be carried out within the framework of the project aim to respond to and / or mitigate the impact of the Covid19 Pandemic",0,1,8724,2020,italy,"Africa, regional / Res East - Streghtening the Resilience and inclusive Sustainable Agriculture Development for the people of the Eastern states in Sudan",sudan,,africa,776338.45,679806.0,776338.45,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The intention is to expand the production and use of organic manure. Specifically, it is proposed to 1) set up a system of rearing laying hens by distributing them to 90 women, 2) recycle waste from poultry breeding for the production of manure, 3) distribute good quality seed to farmers who will use organic manure and 4) spread the mentality and techniques of recovering agricultural surpluses among other producers.",1,1,8946,2020,italy,Colombia / Increase in the transformation of organic residues from the food bank into fertilizers,colombia,,latin america and the caribbean,9112.25,7979.2,9112.25,Committed,Oda,adaptation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The intervention aims and contributing to counteract the negative consequences of the Iraqi humanitarian crises for the population which was directly affected and improve the living standards of refugees, internally displaced, returnees and hosting commun",1,0,9423,2020,italy,"Middle East, regional / Humanitarian assistance to the vulnerable people, refugees, internally displaced and returnees in Iraq",iraq,,asia,1370400.0,1200000.0,1370400.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The intervention aims to guarantee and increase the equitable access and economically sustainable rural water schemes in both Districts. KISIMA is articulated into 4 results: R1. Region and Districts provide an,1,1,9725,2020,italy,"Tanzania / Strengthening of the WASH services in the Districts of KIteto and SImanjiro, Region of MAnyara - KISIMA",tanzania,,africa,855469.92,749098.0,855469.92,Committed,Oda,adaptation,Grant,Water And Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The intervention covers 3 issues: agroforestry, nutrition education, promotion of renewable energy. For agroforestry will be implemented a reforestation program oriented to fruit production and forest-energy chain. For nutrition education is proposed a food safety program  which includes a creation of 5 school gardens and nutrition education to students and families involved. Finally, will be promoted the use of renewable energy installing 2 photovoltaic panels in 3 elementary schools and 2 health centers. All Municipality of Hinche will be informed about the use of renewable energy through promotion events and creation of special radio programs.  ",1,1,40187,2016,italy,Haiti / Haiti / America (North & Central America) / New energies for Haiti: rural development model in Central Plateau,haiti,,latin america and the caribbean,153153.82,138497.0,153153.82,Committed,ODA,mitigation,Grant,Agriculture,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The intervention is part of a wide emergency program that SOS Children’s Villages Italy implements to respond to the challenges posed by the COVID-19 pandemic. The project aims at implementing a set of activities primarily aimed to support children and youths without parental care or at risk to lose it.  It also addresses individuals at risk and vulnerable families.,1,0,9639,2020,italy,Serbia / SOS Covid Emergency – protecting mental health and psychosocial wellbeing of adults and minors during social distancing in Italy and Serbia,serbia,,europe,35630.4,31200.0,35630.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The intervention will aim to support vulnerable populations in Eritrea improving the health sector and food security. The main sectors will be Health, Agriculture, Food Security and WASH.",1,0,8726,2020,italy,"Africa, regional / Humanitarian Aid Programme in favour of vulnerable populations in Eritrea",eritrea,,africa,1142000.0,1000000.0,1142000.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The intervention works on the chain of three local agricultural products, cassava, peanuts and soybeans. Groups already active and involved in previous projects, mainly engaged in production and processing of cassava. Groups that will be accompanied in the stages of production and processing. Vulnerable groups of women, with a particular program of support to guarantee an annuity for the women involved.",1,0,40276,2016,italy,Benin / Benin / Africa (South of Sahara) / Social enterprise for women and educational programs for the development of local agricultural supply chains,benin,,africa,14835.28,13415.54,14835.28,Committed,ODA,mitigation,Grant,Industry,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The intervention, which will be implemented by CIHEAM, is designed to increase the capacity of Raqqa Civil Council (RCC), to support their rural communities by providing agriculture and livestock services and inputs",1,0,9707,2020,italy,Syrian Arab Republic / Strengthening Raqqa Local Administration to Support the Rural Communities- Phase II & III,syrian arab republic,,asia,685078.49,599893.6,685078.49,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The livestock vaccination campaign is targeted at providing the local population with safe and checked- quality meat. ,1,0,9650,2020,italy,Somalia / Livestock vaccination campaign,somalia,,africa,6444.9,5643.52,6444.9,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The local catholic mission will grant use of some of its buildings as storing and processing sites and as laboratories for training classes. ,0,0,2077,2018,italy,"Democratic Republic of the Congo / The project’s objectives are: training villagers on the best agricultural and  breeding practices and helping create rural cooperatives supported by micro-financing, with special focus on women; starting up a fish breeding plant; building cattlesheds and henhouses; purchasing farm animals, seeds, horticultural tools and plants. ",congo,,africa,9445.1,8000.0,9445.1,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The local fund will be aimed to finance of two experts in order  to provide advices and other figures aimed to the management of legal affairs and of the local office working and communication needs.,1,0,2894,2019,italy,Egypt / support to the coordination of AICS's headquarters programs in Cairo - FE,egypt,,africa,44792.0,40000.0,44792.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The main expected project outcomes are identification of shortcomings in existing legislative and policy framework related to the waste oil management system (with main focus on ship borne waste oils) in Serbia, provision of recommendations for best-practice model that could be implemented in Serbia ",1,1,39470,2017,italy,"Serbia / The overall project objective is the development of effective an management system, including legal, administrative and technical aspects of waste lubricating oils. ",serbia,,europe,7918.83,7024.0,7918.83,Committed,ODA,cross-cutting,Grant,Energy,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The main goal of the INLEARN project is to introduce the beneficiary to the comprehensive methodologies and implementation of e-learning systems, which would serve as the basis for future implementation of distance learning",1,0,9545,2020,italy,North Macedonia / Introducing modern learning methods in North Macedonia using Italian experiences - INLEARN,north macedonia,,europe,7729.06,6768.0,7729.06,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The main goal of the project is improving the living conditions of women and children with actions aimed at preventing and treating childhood heart diseases, supporting children with disabilities with particular attention to Down’s syndrome. The planned activities are as follows: modernization of facilities and medical equipment; maintenance of the water system of Samorì House and Infant Maternal Center; prevention programs for the population from 6 to 15 years old in schools ",1,0,40340,2016,italy,Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / Samorì House - Bissau - Guinea Bissau,guinea-bissau,,africa,44233.11,40000.0,44233.11,Committed,ODA,adaptation,Grant,Other (Health General),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The main goal of this UNCDF-led project is to support local communities in some of the main areas of origins of migration in Niger by facilitating an environmentally responsible and climate resilient economic development as well as employment creation and access to finance. It also provides access to digital financial services and financial education on money and credit management.,1,1,9530,2020,italy,Niger / Improving the livelihoods of the migrant communities and creating job opportunities in Niger,niger,,africa,137040.0,120000.0,137040.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The main objective is to ensure free access to medical treatment for Syrians in poor conditions,",0,0,2280,2018,italy,"Syrian Arab Republic / strengthening of three non-profit hospitals: the Italian Hospital and the French Hospital in Damascus, and the St. Louis Hospital in Aleppo.",syrian arab republic,,asia,472.26,400.0,472.26,Committed,ODA,cross-cutting,Grant,Other (Health),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The main purpose of the research is to determine the optimal slot combination that leads to minimize additional losses and, therefore, to maximize the efficiency, while also optimizing the machine behaviour in terms of noise and vibration performance",1,0,2993,2019,italy,Montenegro / Induction motor efficiency improvement through optimal electromagnetic design solutions - IMEI,montenegro,,europe,2907.0,2596.0,2907.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The maintenance of platform Dewetra (installed in August 2014) continued during all the 2016. The current setup allows to acquire and display many real time hydro-meteorological data, including GOES satellite data, precipitation estimates from TRMM satellite, weather patterns and GFS WRF, and data from 35 sensors. Additional layers, made available by the ""Secretary de Gestión de Riesgo"" for assessing exposure and vulnerability, have been added.",1,1,40115,2016,italy,Ecuador / Ecuador / America (South America) / DEWETRA@Ecuador,ecuador,,latin america and the caribbean,11058.28,10000.0,11058.28,Committed,ODA,adaptation,Grant,Other (Disaster prevention and preparedness),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The medical centre of 1.500 sm for a rural and poor population of about 30.000 inhabitants includes first aid, maternity ward, pedriatrics, general and specialist medicine, hospitalization, pharmacy, ambulance, training courses for women of hygiene, food security, nutrition, prevention. Free open days to prevent hypertension, diabetes, ocular and dermatolic diseases.",0,0,40652,2016,italy,"Côte d'Ivoire / Côte d'Ivoire / Africa (South of Sahara) / Construction, equipment and management of a medical centre",côte d'ivoire,,africa,4763.91,4308.0,4763.91,Committed,ODA,adaptation,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The medical centre of 1.500 sm for a rural and poor population of about 30.000 inhabitants includes first aid, maternity ward, pedriatrics, general and specialist medicine, hospitalization, pharmacy, ambulance, training courses for women of hygiene, food security, nutrition, prevention. Free open days to prevent hypertension, diabetes. ocular and dermatolic diseases.",0,0,43142,2015,italy,"Côte d'Ivoire / Cote d'Ivoire / Africa (South of Sahara) / Construction, equipment and management of a medical centre",côte d'ivoire,,africa,4778.7,4308.0,4778.7,Committed,ODA,adaptation,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The micro-project involves the construction of 8 ecological bathrooms, 10 ecological kitchens and an artesian well for families of  communities",1,0,40400,2016,italy,"Peru / Peru / America (South America) / The micro-project involves the construction of 8 ecological bathrooms, 10 ecological kitchens and an artesian well for families of  communities",peru,,latin america and the caribbean,5047.88,4564.8,5047.88,Committed,ODA,mitigation,Grant,Other (Health Basic),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The multi-countries initiative aims to protect the most vulnerable populations in Senegal, Guinea Bissau, Guinea, Gambia and Mali, focusing  on those at risk of displacement , displaced, irregular migration, refugees and returnees.",1,0,1267,2018,italy,Other (South of Sahara) / multi-countries initiative aims to protect the most vulnerable populations,"gambia, mali, senegal",,africa,2361275.09,2000000.0,2361275.09,Committed,ODA,cross-cutting,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The need to improve access to water in line with the world's millennium water supply targets is presented to justify the need to excavate the required wells.,0,1,39104,2017,italy,Democratic Republic of the Congo / The Diocese of Lolo presents a project for the excavation of 10 wells in 10 villages of the Diocese. ,congo,,africa,242390.08,215000.0,242390.08,Committed,ODA,adaptation,Grant,Water and sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The network originated by an agreement with the University of Pretoria (South Africa) and the partners are: University of Gezira – Sudan; Applied Science Department – Mutare Polytechnic – Zimbabwe; Department of Botany - University of Zululand - South Africa; Catholic Relief Services – Palestine; Faculty of Agriculture – Hebron University – Palestine; Dire Dawa University – Ethiopia; Haramaya University - Ethiopia; Ambo University - Ethiopia; University of Nairobi - Kenya. The founding Universities have consolidated research experience at both the national and international levels.,0,0,2229,2018,italy,"Other (Developing countries) / Research Network has the specific objective of promoting the exchange of publications, scientific information and materials relevant to the fields of Natural Resources; Agricultural Development; and Food Security","ethiopia, kenya, south africa, palestine, state of, sudan, zimbabwe",,"africa, asia, multicontinent_or_global",1416.77,1200.0,1416.77,Committed,ODA,cross-cutting,Grant,Agriculture,True,False,False,False,False,True,False,False,False,True,False,,,,,,,,,,,,,,,,,
The object of the project is to strengthen the institutional capacities of the Ministry of Social Development (MoSD) on gender issues.,0,0,9274,2020,italy,Jordan / Institutional capacity development of the Jordan Ministry of social Development,jordan,,asia,99758.1,87353.85,99758.1,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
