additional_information,action,environmental,id,year,reporting_party,recipient_country_region_project_programme,recipient,recipient_continent_or_region,assigned_geography,usd,euro,corrected_usd,status,funding_source,type_of_support,financial_instrument,sector,africa,latin_america_the_caribbean,north_america,middle_east,mediterranean,asia,europe,oceania,global,multicontinent_or_global,continent_unspecified,croatian_kuna,norwegian_krone,japanese_yen,danish_krone,british_pound,american_dollar,swiss_franc,australian_dollar,romanian_leu,swedish_krona,canadian_dollar,new_zealand_dollar,czech_koruna,bulgarian_lev,icelandic_krona,polish_zloty,hungarian_forint
"The Family Garden project is aimed at people who are already engaged in agriculture for their own needs and small-scale sales. The aim is to improve quality and productivity through learned agricultural techniques in collective workshops and field visits. This positive experience also has a major impact on the forms of socialization and cooperation of women who joined the project, who will be able to continue to use the learned knowledge independently.",1,0,2798,2019,italy,Bosnia And Herzegovina / Family Gardens 2019,bosnia and herzegovina,,europe,1679.7,1500.0,1679.7,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
The G13 Donors group is an exsample of the coordination between countries and international agencies that make greater financial contributionsto development co-operation activities for Guatemala. The object of the iniziative is to facilitate the work of t,0,0,9194,2020,italy,Guatemala / Technical assistance to the pro-tempore presidency of the G13 donors group,guatemala,,latin america and the caribbean,3095.37,2710.48,3095.37,Committed,Oda,mitigation,Grant,Not Applicable,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Humanitarian Programme aims at protecting the most vulnerable Palestinians living in the Gaza Strip, Area C of the West Bank, East Jerusalem, Hebron H2 and UNRWA Camps, including refugees and those at risk of forcible transfer, strengthening their preparedness as well as their capacity to respond to the recurrent crises and shocks.",1,0,1283,2018,italy,West Bank and Gaza Strip / Humanitarian Programme Gaza Strip,,asia,asia,1180637.54,1000000.0,1180637.54,Committed,ODA,cross-cutting,Grant,Other (Emergency response),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Humanitarian Programme aims to protect the most vulnerable Palestinians living in the Gaza Strip, Area C of the West Bank, East Jerusalem, Hebron H2, exposed to human rights and humanitarian law violations, by strengthening their preparedness as well as their capacity to respond to the recurrent crises and shocks.",1,0,3099,2019,italy,West Bank and Gaza Strip / Humanitarian Programme for the protection of the Palestinian population exposed to human rights law and international humanitarian law violations,"palestine, state of",,asia,940632.0,840000.0,940632.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Initiative aims at strengthening the protection systems for migrants and returnees, tackling human trafficking and smuggling providing better opportunities for young people and migrants in Ethiopia and Djibouti. The goal of the intervention is to cont",1,0,9156,2020,italy,"Ethiopia / Emergency Initiative to support vulnerable migrants and returnees in Ethiopia and Djibouti, for a safe and informed migration","ethiopia, djibouti",,africa,1142000.0,1000000.0,1142000.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The Initiative aims to contribute to the alignment of the national and Sector strategies to the EU policies through istitutional capacity development in the priority pillars of the Italian Development Cooperation in Albania.,1,0,8744,2020,italy,Albania / Technical assistance and Capacity Development (TACADE).,albania,,europe,114200.0,100000.0,114200.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The Initiative aims to extend and improve services of Comboni Hospital in Wau considered as priority by Local Health Authorities and by Hospital management services. In particular, the maternal and child services of the Wau Hospital improve from a qualita",1,0,9680,2020,italy,South Sudan / Strengthening of services supplied by the Comboni Hospital in Wau also as answer to the migration flow in Sud Sudan,sudan,,africa,145180.45,127128.24,145180.45,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Initiative contribute to ensuring the right to healthy, quality food sourced from local fair and sustainable supply chains, promoting the employment of vulnerable women and young people, in the urban population of Niamey and the rural departments of S",1,0,9534,2020,italy,Niger / Milk & Honey: two supply chains with high added value as a response to food and economic insecurity in urban and rural areas in Niger,niger,,africa,552692.03,483968.5,552692.03,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Initiative contribute to ensuring the right to healthy, quality food sourced from local fair and sustainable supply chains, promoting the employment of vulnerable women and young people, in the urban population of Niamey and the rural departments of Say and Tillabéri in Niger. Specifically, productivity, quality and nutritional value of milk and honey products have improved and adjusted to local consumption. Breeders and beekeepers' organizations will be structured and strengthened at the technical, organizational and monitoring levels of the sustainability of supply chains with a focus on the dignity of work, women's empowerment and the inclusion of young people. The project supports a distribution and trade system promoted by local institutions and structured for the procurement of healthy, fair and quality products between urban and rural areas",1,0,3016,2019,italy,Niger / Milk & Honey: two supply chains with high added value as a response to food and economic insecurity in urban and rural areas in Niger,niger,,africa,719617.0,642629.93,719617.0,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The International School on Nuclear Security takes place annually in Trieste/Italy provides young professionals from developing countries with in-depth knowledge on the relevant international legal framework; instruments for physical protection of nuclear facilities and methods for threat and risk assessment. A training initiative launched by Italy with the IAEA and the Trieste ICTP,1,0,1579,2018,italy,Other (Developing countries) / Scholarships for  International School on Nuclear Security,,developing countries,continent_unspecified,85005.9,72000.0,85005.9,Committed,ODA,cross-cutting,Grant,Energy,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
The Iraq Humanitarian Fund (IHF) is a multi-donor pooled fund led by the UN Humanitarian Coordinator (HC) and managed by the United Nations Office for the Coordination of Humanitarian Affairs (OCHA).,1,0,9258,2020,italy,Iraq / OCHA –Contribution to the Iraq Humanitarian Pooled Fund (IHF),iraq,,asia,228400.0,200000.0,228400.0,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Italian Contribution aims to support ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen. ICRC will assist vulnerable households in maintaining their sources of food and income and support the empowerment of health-care service",1,0,9421,2020,italy,"Middle East, regional / Contribution to ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen",yemen,,asia,913600.0,800000.0,913600.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Italian Contribution aims to support ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen. ICRC will assist vulnerable households in maintaining their sources of food and income and support the empowerment of health-care services. With financial and technical support from the ICRC members of families separated by armed conflict, detention or migration will stay in touch through family-links and services provided by the National Society. Moreover, the ICRC will visit detainees in places of temporary and permanent detention in accordance with its standard procedures. ICRC will also work with the authorities to ensure detainees access to adequate nutrition and health care",1,0,3113,2019,italy,"Yemen / Contribution to ICRC Assistance, Protection, Prevention and Cooperation Activities in Yemen",yemen,,asia,671880.0,600000.0,671880.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Italian Cooperation contribution will increase the overall budget provided by the European Union for the Humanitarian Crisis in Mali, in order to strengthen support in priority sectors of Nutrition and Food Security, mainly in the Regions of Segou and",1,0,9407,2020,italy,Mali / Contribution to ECHO Emergency initiative to strengthen the humanitarian assistance to vulnerable populations in Mali,mali,,africa,1370400.0,1200000.0,1370400.0,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Italian Cooperation through the technical assistance provided by the Italian Ministry of Justice - Department of Juvenile Justice, will support  MoSS in the start-up phase of a Coordination Unit of Juvenile Justice for the development, coordination, a",1,0,9084,2020,italy,Egypt / Restorative approach to Juvenile Justice: Socio - educative Models of Reintegration and Alternative Measures to Detention,egypt,,africa,171190.29,149903.94,171190.29,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Italian contribution (1.000.000,00 Euros) to the MADAD FUND - EUTF aims at providing a coherent, coordinated and reinforced aid response to the Syrian crisis on a regional scale, responding to the needs of refugees from Syria in neighboring countries (Lebanon, Jordan, Iraq, Turkey, Egypt, Western Balkan and recently Armenia), as well as of the communities hosting the refugees and their administrations, with a specific focus on resilience and early recovery processes.",1,0,2989,2019,italy,"Middle East, regional / Fourth  contribution of the Italian Cooperation  to the European Union Regional Trust Fund in response to the Syrian crisis, the MADAD FUND -EUTF","turkey, egypt, iraq, jordan, lebanon, armenia, syrian arab republic",,"africa, asia, multicontinent_or_global",447920.0,400000.0,447920.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,True,False,False,False,True,False,,,,,,,,,,,,,,,,,
"The Italian contribution (€ 2 millions) to the EU “Madad” Regional Trust Fund aims at providing a coherent, coordinated and reinforced aid response to the Syrian crisis on a regional scale, responding to the needs of refugees from Syria in neighboring countries (Lebanon, Jordan, Iraq, Turkey, Egypt, Western Balkan and recently Armenia), as well as of the communities hosting the refugees and their administrations, with a specific focus on early recovery processes and resilience. Some activities that will be carried out within the framework of the project aim to respond to and / or mitigate the impact of the Covid19 Pandemic",1,0,9422,2020,italy,"Middle East, regional / Sixth contribution of the Italian Cooperation to the European Union Regional Trust Fund (EUTF) in response to the Syrian crisis - Madad Fund","turkey, egypt, iraq, jordan, lebanon, armenia, syrian arab republic",,"africa, asia, multicontinent_or_global",913600.0,800000.0,913600.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,True,False,False,False,True,False,,,,,,,,,,,,,,,,,
"The Italian contribution to the European Union """"Madad"""" Regional Trust Fund aims at providing a coherent, coordinated and reinforced aid response to the Syrian crisis on a regional scale, responding to the needs of refugees from Syria in neighboring countr",1,0,9180,2020,italy,"Far East Asia, regional / Fifth contribution of the Italian Cooperation to the European Union Regional Trust Fund in response to the Syrian crisis - EUTF, the Madad Fund",syrian arab republic,,asia,913600.0,800000.0,913600.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Joint Programme “Consolidating gains and deepening devolution in Kenya” will be implemented by UNDP, UNICEF and UN Women, focusing on the 17 poorest counties of Kenya. The Italian Cooperation will contribute to the basket fund supporting the Programme",1,0,9318,2020,italy,Kenya / Contribution to the strengthening of the devolution process in Kenya - Capacity development for better management and mobilization of own resources.,kenya,,africa,182720.0,160000.0,182720.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Nepal Disabled Women’s Association (NDWA) is a cross- disability organisation led by energetic women with disabilities and supports Women with Disabilities (WWDs) to pursue their human rights through advocacy and a right based approach (RBA). The goal of “SAKSHAM MAHEELA: Empowerment of Women with Disabilities in Nepal"""" is to contribute for socio-economic and political participation of women with disabilities in Banke and Kanchanpur districts of Nepal.",1,0,9497,2020,italy,Nepal / SAKSHAM MAHEELA: Empowerment of women with disabilities in Nepal ,nepal,,asia,13870.33,12145.65,13870.33,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The PARTICIDADE project proposes a path aimed at improving the systems of urban governcance and services through institutional and capacity building of the municipalities according 3 lines: 1) urban planning and egeneration ased on integrated urban with involvement of local communities and LAS; 2) municipal socio-educational services by integrated and participatory approach in schools and extra-curricular activities; 3) increase the capacity of municipalities to offer tools to accompany employment and youth employment, initially training public officials and training bodies / associations on possible improvements and expanding services for the employment of the youngest and the most disadvantaged groups, and then realizing exemplary professional literacy and training courses to enhance the potential of growing sectors in the areas of Maputo and Pemba.",1,0,9439,2020,italy,"Mozambique / PARTICIDADE - Integrated and participated planning of services for resilient, sustainable and inclusive cities in Mozambique",mozambique,,africa,5855.72,5127.6,5855.72,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The Program aims to improve the satisfaction of the basic needs of displaced people and residents in Syria through interventions aimed at increasing food security and health/sanitation conditions. Women are a specific target of the intervention,1,0,40083,2016,italy,Syrian Arab Republic / Syrian Arab Republic / Asia (Middle East Asia) / Emergency program for the improvement of food security and health/sanitation conditions in Syria,syrian arab republic,,asia,1326993.25,1200000.0,1326993.25,Committed,ODA,cross-cutting,Grant,Other (Emergency Response),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Programme aims to reconciliation and to increase social cohesion after the local conflict, lines of work recognisesd as a priority by the KRG and United Nations",1,0,9263,2020,italy,Iraq / Support for community stabilization in Diyala: recostruction coexistence,iraq,,asia,427140.7,374028.64,427140.7,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The Programme aims to strengthen and improve the quality of healthcare and to promote the agriculture and food security and the education,1,0,40110,2016,italy,"Central African Republic / Central African Republic / Africa (South of Sahara) / Emergency initiative for health, agriculture and food security and education vulnerable people support",central african republic,,africa,2211655.42,2000000.0,2211655.42,Committed,ODA,adaptation,Grant,Other (Emergency Response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Project aims at strengthening the National Early Recovery and Reconstruction Plan in Gaza Strip through the reconstruction and improvement of infrastructure and housing in the Gaza strip, specifically in Al Nada (Beit Hanoun) and Gaza City.",1,0,40353,2016,italy,Other (West Bank and Gaza) / West Bank and Gaza Strip / Asia (Middle East Asia) / Strengthening the National Early Recovery and Reconstruction Plan in the Gaza Strip,,"asia, middle east",asia,6634966.27,6000000.0,6634966.27,Committed,ODA,cross-cutting,Concessional loan,Other (Recontruction relief and rehabilitation),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Project aims to improve agricultural production, productivity and marketing of small agro-producers in the two provinces of Herat and Bamyan in Afghanistan through the provision of agriculture services and inputs adopting a decentralized """"Extension sy",1,0,8700,2020,italy,"Afghanistan / Support to Agriculture and Rural Marketing of strategic value chains in Herat and Bamyan, Afghanistan (SARM)",afghanistan,,asia,183240.75,160456.0,183240.75,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Project aims to improve the health of women and children in the area of ""Raoul Follerau"" Hospital in the city of Bissau. In particular it aims at improving the knowledge of sanitary and nutritional status of women and children who have access to the outpatient clinic services with health care-education lessons in order to prevent the spread of endemic tuberculosis, malaria and malnutrition. Accurate diagnostic tests for TBC, malaria, HIV, infectious and nutritional disorders are also provided ",1,0,40331,2016,italy,Guinea-Bissau / Guinea-Bissau / Africa (South of Sahara) / Fight against TBC in women and children  in Guinea Bissau,guinea-bissau,,africa,17693.24,16000.0,17693.24,Committed,ODA,cross-cutting,Grant,Other (Health Basic),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The Project intends to contribute to the improvement of the resilience conditions of at least 2935 Lebanese of the rural areas of the Hasbaya District engaged in the olive oil sector. The project intends to respond,1,0,9378,2020,italy,Lebanon / Olive growers and cooperatives in Hasbaya for a place-ofOrigin Quality Brand - OLIVE.,lebanon,,asia,507679.53,444553.0,507679.53,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Project is complementary to what has been agreed upon by the two Governments for the vocational training component (TVET) of the Sector Budget Support of 85 million euros (soft loan), in particular with reference to technical and vocational training a",0,0,9273,2020,italy,Jordan / Technical Assistance to Contribute to the Definition of a Strategic Development Plan for Tourism and Human Resources in Jordan,jordan,,asia,81310.4,71200.0,81310.4,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Project is complementary to what has been agreed upon by the two Governments for the vocational training component (TVET) of the Sector Budget Support of 85 million euros (soft loan), in particular with reference to technical and vocational training at post-secondary level. In fact Sector Budget Support of which the Intergovernmental Agreement signed in Amman on October 3rd, 2019, it includes among main areas of support, the establishment of a Community Technical College in Ajloun in order to contribute to the development of an advanced system of TVET that responds to the need for a qualified work force to drive growth and job creation in those sectors where Jordan can build and hold a sustainable position of competitive advantage over the medium to long term. The Community Technical College in Ajloun should constitute an advanced training center for technological innovation, beneficial to develop the necessary skills for the development of tourism and conservation of cultural heritage and landscapes in which Italy has an incomparable added value in terms of best practices, technical skills and advanced qualified competences and considering the fact that for Jordan travel and tourism have become one of the significant drivers of economic growth over the last years. Keeping this in mind, the rationale behind the Project is to contribute to the definition of a strategic plan for the development of responsible and sustainable tourism in Jordan and of the necessary needs in terms of human resources. Analyzing the current international competitive scenario and actual trends both at regional and international level, this strategic plan could have positive effects in enriching tourism in Jordan in order to increase the tourism sector's contribution to the economic, social and sustainable well-being of the country, acting on fundamental levers such as technological innovation and organizational, the ability to adapt to market transformations, the enhancement of the territorial and cultural heritage; the development of skills; favorable conditions for entrepreneurial activities. The definition of this strategic plan will allow the identification of new professional profiles and technical skills required in a wider perspective of human resources development and employment in the tourism sector by focusing on cultural heritage, cultural and creative industries, sustainable tourism and cultural infrastructure are sources of income generation and job creation, including at the community level, thus improving living conditions and fostering community-based economic growth. Specifically, the Project will also have the purpose of defining new curricula for each profile by level of competence as well as identifying the qualifications framework to allow the recognition of competences and the passage to higher levels of technical education and training. In this respect, the Project will build on the advanced qualified competences of the Politecnico di Milano in providing required technical assistance to the Jordanian partners",0,0,2933,2019,italy,Jordan / Technical Assistance to Contribute to the Definition of a Strategic Development Plan for Tourism and Human Resources in Jordan,jordan,,asia,75967.23,67840.0,75967.23,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The SHF is a country-based pooled fund, which aims to promote a timely, strategic and coordinated response to the country's critical needs in emergency, supporting the Humanitarian Response Plan (HRP) prepared by OCHA Sudan.The Fund mainly aims at:- impro",1,0,9692,2020,italy,Sudan / Contribution to the Sudan Humanitarian Fund - SHF,sudan,,africa,228400.0,200000.0,228400.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The School provides young professionals from developing countries with in-depth knowledge on the relevant international legal framework; instruments for physical protection of nuclear facilities and methods for threat and risk assessment.,0,0,2886,2019,italy,"Developing countries, unspecified / International School on Nuclear Security, training initiative launched by Italy with the IAEA and the Trieste ICTP
",,"developing countries, unspecified",continent_unspecified,40312.8,36000.0,40312.8,Committed,Oda,cross-cutting,Grant,Energy,False,False,False,False,False,False,False,False,False,False,True,,,,,,,,,,,,,,,,,
"The Seed of Future project is an integrated initiative that aims to work with the most vulnerable populations of the 50 kebele (villages) of the rural Woreda (districts) of Ameya, Goro, Seden Sodo and Wolisso Zuria, in Ethiopia, with particular attention ",1,0,9146,2020,italy,Ethiopia / Seed of future - Integrated intervention to fight malnutrition,ethiopia,,africa,287628.15,251863.53,287628.15,Committed,Oda,cross-cutting,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Synchrotron-light for Experimental Science and Applications in the Middle East (SESAME) facility is one of the most ambitious research initiatives in the Middle East. The SESAME synchrotron light source will allow researchers from the region to investigate the properties of advanced materials, biological processes and cultural artefacts. Alongside its scientific goals, the project aims to promote peace in the region through scientific co-operation. ",1,0,40727,2016,italy,Jordan / Jordan / Asia (Middle East Asia) / SESAME - Internat. Centre for Synchrotron Light for Experimental Science and Applications in the Middle East,jordan,,asia,442331.08,400000.0,442331.08,Committed,ODA,cross-cutting,Grant,Other (Research/scientific institutions),False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
The University of Padua granted 1000 scholarships to support the academic career of the best students in each study course.,1,0,8836,2020,italy,"Brazil / Padua Excellence Scholarships """"Mille e una lode""""",brazil,,latin america and the caribbean,456.8,400.0,456.8,Committed,Oda,mitigation,Grant,Cross-cutting,False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The University of Pisa  promote the enrolment of international students on  degree programmes held in English for the academic year,  For this purpose,  best international students enrolled  will receive a financial contribution of Euro 1.300,00 (gross amount).",0,0,8688,2020,italy,Afghanistan / Financial contribution Degree Programmes in english ,afghanistan,,asia,742.3,650.0,742.3,Committed,Oda,adaptation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The Value Chain Alliance for Livestock Upgrading Empowerment (VALUE) on pigs and goats is a European Union funded project under the Zimbabwe Agricultural Growth Programme, implemented in the six provinces of Manicaland, Matebeleland South, Matebeleland North, Mashonaland Central, Mashonaland East and Mashonaland West. The aim of the project is to improve the capacity of smallholder farmers, especially women and youths, to improve their goat and pig breeds, production and productivity, access to viable markets and organizational efficiencies.",1,0,9852,2020,italy,Zimbabwe / Value chain Alliance for Livestock Upgrading and Empowerment (VALUE),zimbabwe,,africa,760.12,665.6,760.12,Committed,Oda,adaptation,Grant,Agriculture,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The WFP is responding to the urgent food and nutrition needs of IDPs in Libya and vulnerable people and reducing under-nutrition to below emergencies levels,1,0,39036,2017,italy,Libya / The project aims at saving lives and protect livelihoods in emergencies. ,libya,,africa,1127395.72,1000000.0,1127395.72,Committed,ODA,adaptation,Grant,Other (Emergency response),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The West Bank Protection Consortium was established in January 2015 to prevent the forcible transfer of Palestinians in the West Bank, including East Jerusalem. The European Union (DG-ECHO) & nine of its Member States (Belgium, Denmark, France, Ireland, I",1,0,9831,2020,italy,West Bank and Gaza Strip / Umanitarian action to prevent and counter forcible transfer of Palestinian communities of the West Bank,"palestine, state of",,asia,182720.0,160000.0,182720.0,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The action aims at creating innovative procedures and capitalizing best practices of the current health and nutrition services. The project is alligned with the National Strategic Plan of Public Health (PESS), by supporting the decentralization of the health and nutrition services. The activities include the set-up and coordination of mobile clinics (Brigadas Moveis) and the definition of guidelines at national level for the organization of outreach activities.",1,0,3001,2019,italy,Mozambique / CAREvolution:innovation of the community health services in the Province of Inhambane. Best practices in national health and nutrition services ,mozambique,,africa,1787.76,1596.5,1787.76,Committed,Oda,adaptation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The action aims to promote the rights of persons with disabilities (PwD) through the empowerment of the disabled people organizations (DPOs) obtained thanks to a profound capacity building intervention that reinforces the PwDs skills and capabilities. The,1,0,9835,2020,italy,West Bank and Gaza Strip / Nothing about us without us: Strengthening the role and capabilities of Disable People Organizations (DPOs),,asia,asia,246967.02,216258.34,246967.02,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The action will benefit 8 schools, 17.842 pupils, 425 teachers, and eventually 8 school committees composed by a total of 88 members.",1,0,39232,2017,italy,"Tanzania / The project focus on the improvement of teaching, learning and living school environment in the 8 beneficiary schools, i.e. resulting in enhanced pupils’ performance after the 4 years programme implemented in partnership with two local NGOs, and the four previous yearly phases of WeWorld Infrastructure programme. ",tanzania,,africa,45569.33,40420.0,45569.33,Committed,ODA,cross-cutting,Grant,Other (Education unspecified),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The activities that will be implemented during the implementation of the project in favor of SoM can be summarized as follows: A) institutional strengthening, B) initial and continuing education (judges, prosecutors, judicial administration and officials ",1,0,8740,2020,italy,Albania / Support to the Albanian School of Magistrates in the framework of constitutional reforms,albania,,europe,68520.0,60000.0,68520.0,Committed,Oda,mitigation,Grant,Cross-cutting,False,False,False,False,False,False,True,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim is studying zoonoses of interest for human and veterinary investigating in particular the spread of infectious agents between humans and animals, and vice versa within a population of 378.000 people. The intervention contributes to the containment of the spread of bacterial resistance to antibiotics and prevention of hospital infections and promote the upgrading of laboratory activities and operation of the network of laboratories.",1,0,40226,2016,italy,Bolivia / Bolivia / America (South America) / Support for the improvement of the health condition of the population of the area of Bolivian Chaco ,"bolivia, plurinational state of",,latin america and the caribbean,44230.01,39997.2,44230.01,Committed,ODA,cross-cutting,Grant,Other (Health General),False,True,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim is to strengthen endogenous skills and the ability to create networks among communities of shepherds and farmers living in Area C and in the Seam Zone, in order to protect and develop community resources and livelihoods, with a particular attentio",1,0,9845,2020,italy,West Bank and Gaza Strip / Beyond the barriers. Promoting gender-sensitive and sustainable rural development to ensure food security and resilience of West Bank vulnerable commu,,asia,asia,578548.09,506609.54,578548.09,Committed,Oda,adaptation,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim is to strengthen endogenous skills and the ability to create networks among communities of shepherds and farmers living in Area C and in the Seam Zone, in order to protect and develop community resources and livelihoods, with a particular attention to economic and social empowerment of women",1,0,3105,2019,italy,West Bank and Gaza Strip / Beyond the barriers. Promoting gender-sensitive and sustainable rural development to ensure food security and resilience of West Bank vulnerable commu,,asia,asia,306108.68,273360.14,306108.68,Committed,Oda,cross-cutting,Grant,Agriculture,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim is to strengthen the independence and self-determination of Persons with Disabilities (PwD) -Women with Disabilities (WwD), particularly- in Gaza, through the establishment of a holistic and innovative Center in cooperation with the local CBOs and",1,0,9840,2020,italy,"West Bank and Gaza Strip / I-CAN: Independence, Capability, Autonomy, iNclusion. Center for Independent Living for People with Disabilities in the Gaza Strip",,asia,asia,288815.05,252902.84,288815.05,Committed,Oda,cross-cutting,Grant,Cross-cutting,False,False,False,False,False,True,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of the initiative is to provide coordinated and harmonized support to the government in the implementation of the plan for an emerging Senegal, reforms and development plans, in line with the Paris declaration on aid effectiveness, the Accra Agend",1,0,9608,2020,italy,Senegal / Programme of support to the coordination mechanism of technical and financial partners in Senegal,senegal,,africa,18272.0,16000.0,18272.0,Committed,Oda,mitigation,Grant,Cross-cutting,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
The aim of the iniziative is to support the vulnerable people of est Sudan and Darfur States and other population in the poor areas of Sudan.,1,0,40072,2016,italy,"Sudan / Sudan / Africa (South of Sahara) / Alleviate the poor living conditions of the population of Eastern State,  North Darfour Khartoum, in particular refugees and migrants.",sudan,,africa,1061594.6,960000.0,1061594.6,Committed,ODA,cross-cutting,Grant,Water and Sanitation,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
"The aim of the program is to contribute to the success of the children in Tunisia, particulary thr most disadvanted, in terms of education, well-being, employability and social inclusion. To this end, a series of activities are envisaged by this program with thr specific objective of strenghthening the capacities of the Tunisian Ministry of Education through a transfer of experise, allowing a more trasparent, efficient and decentralized management of the education sector since the preparatory class and an improvement in teacher training and children skills.",1,0,1288,2018,italy,Tunisia / Teachers' training in Tunisia,tunisia,,africa,1020635.66,864478.4,1020635.66,Committed,ODA,cross-cutting,Grant,Other (Education),True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,
